rank,isbn13,1세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
33,9788990794529,297,0.782,43.9,82.9,사랑해 사랑해 사랑해,로제티 슈스탁 글;신형건 옮김,보물창고,2006,1~3세,1,더 큰 아이 쪽으로 넓음,True,2138
34,9788952768506,296,0.804,43.8,84.0,뚜껑 뚜껑 열어라 ,정은정 글 ;윤지회 그림,시공사,2013,1~2세,1,더 큰 아이 쪽으로 넓음,True,1595
35,9788936454951,293,0.341,43.8,60.8,할머니의 여름휴가,안녕달,창비,2016,3~9세,3,더 큰 아이 쪽으로 넓음,True,38130
36,9788901220505,290,0.823,43.7,84.8,예! 대답 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1314
37,9791158360214,287,0.26,43.6,56.6,이상한 엄마 ,백희나,책읽는곰,2016,3~8세,5,대칭,True,50284
38,9788943312220,275,0.793,43.3,82.9,"잡아라, 잡아라 ","글, 그림: 백주희",보림출판사,2019,1~3세,1,더 큰 아이 쪽으로 넓음,True,1268
39,9788993242980,273,0.265,43.2,56.5,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,4~9세,5,더 큰 아이 쪽으로 넓음,True,50498
40,9788984887534,270,0.859,43.1,86.1,뽀뽀 쪽! ,김선영 글 ;김현 그림,베틀북,2012,1~2세,1,더 큰 아이 쪽으로 넓음,True,893
41,9788955822120,268,0.548,43.1,70.4,덤프차가 꽈당! ,오하시 에미코 글 ;이기웅 옮김,길벗어린이,2013,1~3세,2,대칭,True,3426
42,9788943311797,267,0.742,43.0,80.1,머리 감는 책 ,글: 최정선 ;그림: 김동수,보림출판사,2018,1~3세,1,더 큰 아이 쪽으로 넓음,True,1952
43,9788972590637,266,0.415,43.0,63.7,무지개 물고기,마르쿠스 피스터 글.그림;공경희 옮김,시공사,1994,2~6세,4,대칭,True,21953
